content,label
"Alhamdulillah Aplikasi SIREKAP 2024 Sudah tersedia meskipun baru di rilis tgl.22 Januari 2024!Semoga mempermuda dalam proses perhitungan suara di pemilu 2024 Nanti pada tgl.14 Februari 2024!🙏✍️💟🇲🇨 Setelah di coba banyak ketidak puasa dari hasil rekapitulasi data di sirekap!Mohon budayakan malu ,kalau nyatanya Paslon 02 yang unggul sudah terima kekalahan saja jangan memutar balikan fakta yang nyatanya kalian sendiri yang malu!""Jernikan pikiran & Bersihkan Hati menjelang bulan suci Ramadhan""",positif
Apa yg lebih buruk dr SAMPAH?? Y benar aplikasi SIREKAP,negatif
Sudah download gak bisa di buka gimanasih,negatif
Aplikasi Abal abal dengan anggaran yang triliunan,negatif
Baru dl udah eror asuuuu,negatif
aplikasi tercanggih se jagat raya 🤣🤣🤣,positif
"Aplikasi sumber masalah, asuu !",negatif
"Loading apk nya lama, udh gtu suka eror",negatif
Aplikasi brengsek.... Pemicu keributan rakyat...,negatif
"Sulit di akses,",negatif
"Aneh KPU, lembaga yg resmi Negara, pakai aplikasi tidak jelas, banyak keluhan, buang2 anggaran, aplikasi dipakai untuk memudahkan ini malah bikin gaduh dan kecurigaan di masyarakat. Untuk sekelas Pemilu harusnya uji coba dulu aplikasinya. Asli parah",negatif
Aplikasi gak siap sudah disuruh pake,negatif
"Percuma nginput bener bener juga, dari sono nya udah manipulasi",negatif
Aplikasi sampah,negatif
𝔹𝕒𝕘𝕦𝕤,Positif
Saya sarankan pemilu mendatang lebih baik gak pake Aplikasi... bikin ribet aja dan rawan kecurangan alias penggelembungan suara,negatif
"APLIKASI SAMPAH, TERLALU DIPAKSAKAN UNTUK MEMENANGKAN PASLON 02. 😂🤣🤣🤣",negatif
Ok mantap,positif
Tifak bisa dibuka.,negatif
Aplikasi yang menimbulkan kegaduhan di Indonesia.,negatif
Thanks berkat sirekap jagoan gw menang...makan gratis im coming,positif
"Aplikasi Sampah skala Nasional kaya begini, Rating Ancur.. Kaya gorengan dadakan aplikasi nya. Developer nya Amatiran, bukan nya Rekap malah Markup Hasil Suara. Sangat Memalukan sekali KPU bikin sistem beginian.",negatif
buruk,negatif
"Baru 1jt pengguna, server malah down, malu sama swasta",negatif
"Aplikasi jelek,nyusahin aja lu",negatif
Bagus,positif
"Seller responsif, barang juga sesuai dengan deskripsi, kurir sat-set.. mantap lah pokoknya. semoga awet.",positif
Aplikasi bapuk,positif
Sampah,negatif
Mantab,positif
Aplikasi ngabisin uang rakyat. Errornya bukan maen,negatif
"Made in pemerintah dari dulu gini mulu ya. Minusnya ga bisa auto focus (fitur utama sebuah aplikasi yang menggunakan kamera), ga bisa menyalakan flash (fitur tambahan untuk memperjelas objek foto), ga bisa pake foto di galeri (fitur tambahan jika minta foto ulang). Dan server kurang kuat",negatif
banyak Sekali Segi Minus Ini Aplikasi Maunya Tambahin File Foto di Galery Biar Egak Ribet Foto Sana Sini😑,negatif
Jelek,negatif
Belum layak,negatif
Pecat saja ketua KPU ini !. Bertahun tahun bisa bocorkan data KPU ke Si hacker. Mau di kemanakan nasib Rakyat Indonesia ini kalau pemilihan KPU di salah gunakan si hacker. Dan kami ingin presiden di tahun ini dan seterusnya di pilih rakyat bukan si hacker tersebut !. Sekian itu yang bisa kami sampaikan terima kasih.,negatif
Aplikasi taiiikkkk... masa Input Data capek2 hasilnya kagak bisa sesuai... aplikasi cuman buat ngabisin anggran yaaach....... Atau emang sengaja buat memenangkan salah satu paslon dan ternyata ketauan yaaaaa.....wkwkwkekekekekekek,negatif
Lama loginnya,negatif
Payah,negatif
Payah,negatif
Aplikasi bobrok,negatif
Bagus,positif
Aplikasi gk guna,negatif
"Terlalu dipaksakan, buang buang uang saja, padahal uang tersebut bisa dipakai untuk mensejahterahkan masayarakat yang membutuhkan, malah di buat aplikasi tanggung macam ini",negatif
Aplikasi gagal belum layak untuk digunakan...lain kalai kalau aplikasinya belum siap jangan di gunakan perbaiki dulu servernya biar bisa diakses seluruh Indonesia,negatif
Produk gagal dr kpu,negatif
"Afk cac*at, 5tahun sekali, tapi aplikasi ini gaguna sama sekali.",negatif
Aplikasi terburuk yg pernah kupakai di smartphone.,negatif
Butut,negatif
Mungkin apk ini cocoknya buat pemilu thun depan. Klo sekrng kyaknya blm siap Ppwp hal 2. Tombol editnya belum berfungsi tpi ini kyknya dsengaja. Revisi gtu pdhl kan mudah dan ini apk klas nasional lo. Bukan main2,positif
Gbs krim hsil..mau krim malah logout..mau login lg mlah invalid..stlh sy tny kpd pps n ppk ini server ny lg error..so mau smpai kpn server error..??sdngkn tgs anggota kpps sdh slsa msa krj ny,negatif
Aplikasi curang....,negatif
"Harusnya dikasih batas dpt maksimal 300, jadi kalo ada kesalahan pas input foto, angka yang terbaca tidak jauh hingga ribuan",positif
Aplikasi gak layak,negatif
"Kerja kembali, part II perhitungan ulang. Kec. Tanjung senang . Bandar lampung.",positif
Uang negara di habis kan sia2 untuk aplikasi gagal ini..,negatif
Aplikasi gagal.......,negatif
Aplikasi ga jelas rugiin orang doang,negatif
"Yg penting anggaran buat bikin aplikasi udh keluar Masalah urusan bisa dipake atau gx nya itu urusan nanti, sing penting aplikasinya udh jadi udh ada wujudnya.....",positif
"Sangat tidak bagus, masa mau foto aja langsung log out sendiri. Belum lagi kamera bawaan apk nya jelek malah nyalahin kpps😬😬",negatif
"Sirekap gak jelas, seperti sudah di setting siapa pemenang nya, ini Apk seperti Apk judi online BANDAR PASTI MENANG",negatif
Sering eror,negatif
Apk tidak netral,negatif
APLIKASI TIDAK LAYAK PAKAI! HANYA BUAT SUSAH KPPS,negatif
Kalau belum siap untuk digunakan jangan digunakan dulu. Jangan mementingkan semata proyek aplikasi saja.,negatif
Payah gak berguna,negatif
"Aplikasi saya kenapa ya tidak bisa login. Padahal username dan sandi sudah betul. Tapi, tidak bisa login. Kendala saya, saya pernah login aplikasi sirekapnya di Hp teman saya.",negatif
"Aplikasi ga guna , sering error ,data data yang direkap tiba² hilang semua ,",negatif
Buruk,negatif
"Setelah update versi terbaru malah gak bisa dibuka, autentikasi gagal. Gimana mau cpt selesai kalau sirekap aja gak bisa dibuka. Terus malah salahin kpps gak teliti pake si rekap. Parah sih",negatif
Buahahaha... Sangat menggambarkan kualitas pemerintah,positif
app tolol,negatif
"Aplikasi burik, belum siap udah dipaksa untuk dipakai,,,",negatif
"Lah jaleh alun layak, bapakai lo",negatif
Ok,positif
"Aplikasi gk bisa digunakan, gk bisa unggah file, belum bisa digunakan untuk pemilu tahun 2024 ini, kecewa aplikasinya jelek",negatif
Kesalahan BSrE terus. Nanti kalau sudah lancar akan saya ganti ulasannya,positif
Menyusahkan,negatif
"Aplikasi tidak lulus uji, sangat susah di operasi kan",negatif
"Apk kaga jelas, bukannya mempermudah malah mempersulit. Lain kali kalau belum siap pake aplikasi, gak usah sok-sokan lah.",negatif
"Sangat sulit terkoneksi ke server, belum siap utk pakai aplikasi ini di pemilu selanjutnya",negatif
Aplikasi ga guna .. Buat repot ..,negatif
"Kurang banget buat digitalisasi terkesan maksain banget, bukannya teknologi mempermudah tapi malah memper ribet",negatif
"Sebentar"" harus update, Pembacaan tidak akurat, hingga bikin kisruh, sering down dan banyak lagi. Tidak layak.",negatif
"Aplikasi yang bagus, bagusnya jangan di download",positif
Mantap transparan,positif
Error,negatif
"Klo blm siap jgn maksa, aplikasi bapuk",negatif
"Aplikasi sampah, anggaran pembuatan aplikasinya pasti banyak di sikat orang-orang KPU ni.",negatif
Aplikasi pembodohan publik!!!,negatif
"Aplikasi GATOT alias GAGAL TOTAL, dibikin pusing cuma gara gara aplikasi ini. Kalo ga siap gausahlah pake digital2 apaan",negatif
Aplikasi belum siap jangan digunakan sudah foto tapi suruh kirim ulang foto,negatif
Ga jelas bikin pulang subuh,negatif
Aplikasi aneh,negatif
Aplikasi buruk. Bisa-bisanya suara yang sudah naik turun lagi,negatif
"Aplikasi butut, herannya kpu dikasih waktu 5 tahun untuk buat ni aplikasi tapi hasilnya malah seadanya, kayak ga niat buat (lebih ke ""hemat budget"" mungkin). Gak bisa unggah foto dari galeri, kualitas foto jadi jelek banget + blur, gak ada flash, sudah diunggah suka minta foto ulang yang mana itu buat repot. Lain kali kalo diamanahkan untuk buat aplikasi tolong buatlah dengan sebaik mungkin, masukan dari teman"" yang sudah diulas tolong dipikirkan.",positif
Payah bangett bikin ribet,negatif
"Aplikasine sek bosokk, sek disalahke KPPS",negatif
"Gegara aplikasi ini, kerja lebih dari 24 jam nonstop dipersalahkan oleh komisioner KPU RI, Bu Betty",positif
"Aplikasi masih banyak kekurangan, kamera tidak bisa difokuskan selalu blur padahal penerangan sudah maksimal sekali, sampai H-6 masih ada update aplikasi, harusnya H- beberapa bulan sudah tidak ada update lagi, login susah, sudah hampir tidak tidur dan aplikasi bermasalah dan KPPS masih disalahkan, jika ada rating minus sudah saya kasih rating minus",negatif
Aplilasi bobrok,negatif
Kamera hp sudah bagus. Begitu masuk aplikasi ini turun drastis luarbiasa. Engineernya kurang dana.,positif
"Aplikasi kocak kagak guna, nyesel njir gua instal isinya hoax mulu",negatif
Benar benar apk burik dan membagongkan,negatif
aplikasi tergoblok yang pernah gua install sepanjang sejarah,negatif
"Minimal anggaran negara dibuat nyewa LC saja gausah buat aplikasi, sok²an modernisasi",negatif
hampir sakit gara2 aplikasi ini,negatif
banyak kendala yg terhadi di apk,negatif
Good,positif
"GAK NIAT BANGET BIKIN APLIKASI , KAMERA 108 MEGAPIXEL JADI BUREM GARA² FITUR KAMERA APK BURIQ , KASIH AJA FITUR UPLOAD BIAR GAMBARNYA JELAS, TRUS APAAN COBA CROP MANUAL , MINIMAL KAYA CAMSCANER BISA NGEPASIN LANGSUNG JADI GAK LAMA² UDAH WAKTUNYA NGITUNG MASIH FOTO² MEMPERLAMBAT PROSES PENGHITUNGAN , MINIMAL ANGGARAN BUAT BIKIN SERVER JANGAN DISUNAT, DARI SIMULASI1-TERAKHIR BANYAK DATA YG SALAH BACA DARI PADA YANG BENER, APALAGI UPLOADNYA LAMA , PERSIAPAN 5 TAHUN NGAPAIN AJA, NOL BESAR",negatif
aplikasi sampah,negatif
aplikasinya yang burik malah nyalahin ponsel kppsnya 🤣,negatif
Semangat terus sirekap. Saya harap akan terus digunakan untuk pilkada dan pilpres yg akan datang.,positif
"Dasar, gara² lu aplikasi yg gak bener, para KPPS jadi korban dituduh curang, SDM rendah,kamera hp nya jelek sampe banyak kpps yg opname IGD gara² aplikasi sirekap ini",negatif
"Aplikasi yang amat sangat meribetkan orang, Aplikasi dikit2 eror, intinya Aplikasi yg blum layak pakai tapi dipaksa untuk pakai,",negatif
Aplikasi gagal,negatif
"apk kocak, kalo beli server jangan beli server murahan...",negatif
Aplikasi gak jelas,negatif
Sirekap membantu masyarakat kecil untuk melihat hasil pemilihan yang jujur dan adil.,positif
Siiiiip......,positif
Oke,positif
Sangat membantu,positif
"Sudah di beri akses dari kpu tapi sekarang tidak dapat login,username or pass salah,sebagai anggota kpps kita merasa kerja kita tidak baik atau buruk karena kendala sirekap,tidak mudah,tidak semuanya dapat untuk mengunggah file c hasil pleno,dan admin malah di minta login kembali,dan ketika login di tidak dapat karena server tidak mampu membaca username admin dan passnya.",negatif
MOHON DIBENAHI KEMBALI SEBELUM KEMBALI DIOPERASIONALKAN!!! Dan jangan sesekali menyalahkan pengguna yg akan menggunakan untuk menginput data karena masalah dari awal kan harusnya ada uji coba dan kelayakan untuk pemakaian yg merata masa belum siap tapi udh di edarkan untuk menggunakan ke seluruh panitia. Pikir dulu evaluasi dulu dong...anggaran yg digunakan untuk membuat aplikasi hanya sia sia,negatif
Bikin susah petugas KPPS,negatif
Aplikasi bobrok..ngabisin uang anggaran pemerintah ajah..lebih baik dana nya di alokasikan untuk rakyat yg tidak mampu,negatif
Kacauuu,negatif
"Terima kasih sirekap. See You Pilkada 2024,semoga lebih update lagi🔥",positif
Aplikasi Erorr,negatif
aplikasi yang cuma menambah permasalahan di tps. gajelas. LOL,negatif
Oke,positif
Aplikasi yang gak berkualitas,negatif
Apl jgn terlalu kaku,negatif
Sengaja aplikasi dibuat jelek wkwkwk supaya ga banyak yg bisa aksesnya ya?,negatif
Sakirana te bisa nyieun apk nggeus ntong nyieun Matak ngalieurkeun ka masyarakat,negatif
"Bang udah bang lu ga cocok bkin aplksi, mnding balik lgi aja jualan seblak",negatif
Aplikasi kaga jelas,negatif
Aplikasi belum siap pakai tapi dipaksa untuk meluncur dan merugikan banyak orang. Terutama anggota kpps yg dijadikan kambing hitam padahal emg apknya yg belum siap pakai sepenuhnya,negatif
"Seperti ini siapa yang salah, KPU atau admin Sirekap yang sudah berusaha agar data secara benar dan jujur terupload di aplikasi. Bisa-bisanya menyalahkan admin, pilkada besok tolong diperbaiki ya apk ini. Apk belum mateng disuruh kejar tayang. Sekian, terimakasih. Semoga lebih baik. 🙏",negatif
Mempersulit kinerja kpps aplikasi mending hitung manual aja yang dari hasil C,negatif
"Ya, apa yg bisa diharapkan dari KPU, developer dan pemerintah berwenang yang dari awalnya saja sudah mendukung kecurangan, melanggar etika, diam saat tahu ada yang salah. Get well soon, Indonesia! 1. Aplikasi tidak siap menampung ""crowd system"" di hari-H. 2. Server lemah dan bermasalah. Tidak ada limit atas jumlah suara sesuai jml maksimal DPT (300)",negatif
"Aplikasi kntl, gaguna anjg",negatif
"Aplikasi gila gilaan, masa di hp kita udah terunggah semua, udah clear semua, bisa bisanya di kecamatan untuk tps kami belum ke unggah katanya, gimana ceritanya Jelas jelas di aplikasi kita udah siap semua dari kemarin Tolong dong yg buat aplikasi ini Jadi tps kami seakan akan bodoh kali gak kami unggah unggah, padahal udah clear semua",negatif
Enggak mutu,negatif
"Bikin rumit aja ini apk,system down kaya gini masih d pake",negatif
Pengalaman pertama menjadi anggota KPPS 2024 menggunakan aplikasi ini. Pengalaman KPPS sebelumnya manual saja tanpa menggunakan teknologi digital. Link aktivasi dari KPU berjalan lancar dan cepat untuk diakses serta tidak ada kendala dalam proses login. Semoga saat digunakan saat hari H berjalan lancar. Sayang sekali pas hari H pencoblosan malah menyulitkan tugas KPPS.,positif
"Server swasta Singapore gak kuat, data rakyat dijual ke luar negri, pemilu jadi proyek bisnis pribadi. Menodai asas jurdil pemilu 2024, sejarah buruk di indonesia, jadi bahan lelucon di luar negri.",negatif
"Aplikasi Jelek, masih kurang layak digunakan. Terkesan di paksakan, padahal digunakan untuk kegiatan sangat penting. Dilihat dari desain UI/UX nya juga kurang proper ala kadarnya. Terkesan seperti orang yang baru belajar membuat aplikasi, kurang profesional.",negatif
Sangat membatu info,positif
"APLIKASI SAMPAH, BIKIN SUSAH RAKYAT!!!!",negatif
Aplikasi gagal kambing hitam anggota kpps,negatif
Tidak membantu malah nyusahin,negatif
Aplikasi pembohongan... Hanya buang2 uang negara.,negatif
Gk ada fitur hapus,negatif
Aplikasi gagal,negatif
"Apk yg tidak jelas tidak bisa jadi panutan, pembodohan publik",negatif
Aplikasi pembodohan,negatif
bagus,positif
"Belum pernah daftar, disuruh sign in, tapi gak bisa daftar juga ANEH",negatif
"HOIii,KALO UPDATE YANG BENAR , CPLANO PRESIDEN DAN WAKIL PRESIDEN HALAMAN 2, TIDAK BISA DI EDIT SESUAI CPLANO ASLI , KEMARIN HARI H BISA DI EDIT SEMUA ,SEKARANG KOK GA BISA DI EDIT,jgn jd apk hoax,parah ,pantesan paslon1 lsg nanjak ,di apk paslon 1 di lock 600an ,paslon 2 3 cuma 100an ,parah nich",negatif
Ini developernya siapa ya.. kalau misal gak sanggup ngerjain projek sirekap jgn maksa di ambil projeknya... Nyusahin petugas lapangan.. aplikasi eror mulu,negatif
Baru aja di buka udah hang lagi.sepertinya aplikasi ini belum siap dirilis deh,negatif
Aplikasi GATOT,negatif
"Aplikasi cacat,aplikasi prematur,banyak bug ,banyak error, aplikasi tersampah yang pernah saya pake semenjak pake hp android,KPU pake nyalahin kpps banyak aplikasi nya aja cacat, upload satu foto susah nya mintak ampun,apa lagi pas pemilu 67 yang mau di upload,1 foto aja setelah berjam jam baru bisa id upload,Kadang gak bisa sama sekali,apa mungkin dana pembuatan aplikasi di korupsi sampai bisa aplikasi nya secacat sprematur ini,HELLO ini aplikasi buat negara EMANG BOLEH SECACAT INI APLIKASINYA",negatif
Pemilunya sudah selesai ada update lagi sirekap aplikasi bikin orang pusing,negatif
"Kalau bisa pilih bintang lebih baik tidak ada bintang, bukan tidak ingin meng apresiasi orang/developer ini. Tapi masa sih 5 tahun tidak bisa mengembangkan aplikasi tersebut apakah tidak ada Dana? atau Bagaimana? malahan membuatnya mendadak (22 Januari 2024) aneh banget, server kurang jadinyakan overload, dan banyak bug. Kalau ga niat buat jangan buat lah malah memusingkan orang-orang. Untuk tahun ini lebih baik ditutup dulu, perbanyak servernya biar Kami juga merasa nyaman sebagai pengguna. TY",negatif
Tidak membantu sama sekali,negatif
Aplikasi BAJINGAN TENAN,negatif
Apk busuk....yang penting banyak yg download jadi cuan.,negatif
Error' terus malah nyusahin kpps sampe tanggal 24 aja harus Poto lagi c Plano,negatif
Cape bgt sm aplikasinya :(,negatif
DAH LAH INI MAMANFAATKAN ANGGARAN AJA PROJECT DIGITALILASI PEMILU BODONG,negatif
Setelah update ke versi 2.52 malah gagal login lagi.. Mohon disempurnakan lagi,negatif
Si rekap anjjjjjjjjjjjjj bikin kesel petigasnya kmbg,negatif
"Apk belum siap,kesan nya memaksakan. sering mental, tiba2 keluar sendiri, Kualitas gambar sering buram, upload lama, saran saya lebih baik bisa ambil foto di galeri, karna untuk proses foto nya aja lama banget, apa lagi upload pdf.",negatif
apk gk guna. mempersulit,negatif
"ganti namanya jadi sirepot, bikin kerja sampe pagi aja",negatif
"Aplikasi pemilu dengan kualitas sangat buruk. Over akses bikin hp jadi bug, lemot, mempengaruhi sistem ui android. Mau upload foto plano sering keluar. Anggaran di korup aja boss sekalian gausa aplikasi",negatif
Busuk aplikasinya sering eror dan server sering down dan ga bisa buat edit jumlah suara,negatif
Aplikasi banyak errornya,negatif
20+5 = 205 009 = 990 80+8 = 808 Lokiga sirekap gk ngotak. Kalo aplikasi belum siap gk usah dirilis lah,negatif
"Aplikasi cacat masa sekarang login invalid terus pass sama user name, padahal engga pernah diapaapain, aplikasi pembodohan...",negatif
"Aplikasi Gatot, udah tau Gatot kenapa tetep aja dirilis,buang² anggaran aja",negatif
"Yth_ dev'apk & hukum yang berlaku,,, Saya ingin meminta tolong... Tolong kebijakan nya ...saya kehilangan data sirekap ((di versi 2.48/2.42 )) Setelah saya update ke versi 2.52 Tolong kebijakan nya untuk data saya ... Krn saya belum beres untuk rekapitulasi data tsb ... Jika anda baik tolong jawab ulasan ini #terimakasih",positif
"23/2/24. Setelah diupdate, data yg sudah diupload malah hilang semua. Piye?!!",negatif
PESAN UNTUK KPU : KALAU SEMISAL APLIKASI INI BELUM STABIL JANGAN DIPAKAI DULU DAN JANGAN DIRILIS DULU DI PLAY STORE/APP STORE NYUSAIN KPPS MULUK 😤,negatif
Aflikasi goplok,negatif
"Sepertinya ini aplikasi belum siap pakai, tapi malah di paksa, alhasil pas ngefoto bisa jadi lag",negatif
Produk gagal yang dibanggakan KPU😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,negatif
"aplikasi ga layak digunakan, jatuhnya mempersulit pekerjaan ya bukan mempermudah. sebaiknya gunakan cara yg lebih efisien daripada menggunakan aplikasi ga jelas begini.",negatif
Aplikasi gk layak pakai..,negatif
Setelah update foto & data2 yg udah ada di sirekap malah ilang semua..🤦‍♂️🤦‍♂️🤦‍♂️,negatif
Sampah...,negatif
Aplikasi gak bisa login,negatif
"Aplikasi error saat pemilu. Kemungkinan server tidak siap menanggung beban, mesti nya diuji coba dulu ditingkat pemilihan RT RW",negatif
Diupdate terbaru mlah ilang semua datanya.....,positif
Ok,positif
"Angaran gede tapi margin error nya banyak banget, tak sesuai anggaran yang di pakai untuk pembuatan sirekap",negatif
Oke,positif
Gara gara aplikasi yg belum layak publish. Anggota kpps 3 dijadikan kambing hitam,negatif
Sangat buruk sistemnya membuat kerja si rekap tambah ribet,negatif
JELEK BANGET,negatif
"Pokoke angel,gagal,mangkel, njengkelne, uninstall",negatif
Payahhh Sekelas hajat nasional aplikasinya receh banget.,negatif
"Aplikasi belum selayaknya dipergunakan, karena banyak sekali bug dan akses ke server yg melambat ketika di gunakan secara bersama/serentak sehingga sering kali terjadi kegagalan saat mengaksesnya atau bahkan tidak bisa digunakan. Kesiapan aplikasi untuk kegiatan pemilu dinilai gagal, padahal perhelatan pemilu hanya 5 tahun sekali. Persiapan 5 tahun untuk mengembangkan aplikasi kok gagal? Apakah tidak ada tim pengembang aplikasi yang profesional? Atau anggaran pengembangan aplikasi sangat minim?",negatif
Aplikasi cacat. Saya admin sirekap. Gak ada hubungan dukung paslon manapun tp asli parah banget nih aplikasi. Kalau gak siap mending gak usah dipake,negatif
"APLIKASI SAMPAH... GAK GUNA, TAPI BERHASIL MENYERAP ANGGARAN PEMERINTAH.. SEJAK 2019 SAMPEK SEKARANG KOK GK MEMPERBAIKI SISTEM DATABASE, GK PERNAH BRLAJAR DARI PENGALAMAN.!!!",negatif
"APLIKASI BAD BANGETT, BIKIN STRESS BUKANNYA MEMBANTU MALAH MEMPERSULIT!!! BINTANG 0",negatif
"Error mulu, aplikasi gagal... 5 tahun ngapain aja? Makan gaji buta nih bagian yg ngerjain aplikasi. Ngga layak pakai tapi maksain.",negatif
"Sekelas pemerintah KPU bikin aplikasi gagal, digunakan tidak bisa",negatif
Aplikasi ngalilieur kpps,negatif
"Prlu di develop ulang,masih banyak kekurangan,bug,leled dll",negatif
"Klw belum bisa membuat aplikasi yg minus error,serahkan pada ahlinya.apalagi ini untuk aplikasi pemilu yg ""mungkin"" tujuan nya untuk mengurangi kecurangan .",negatif
apk gajelas,negatif
"APK sampah, banyak bugnya malah KPU salahkan petugas KPPS",negatif
"Aplikasi mempersulit kerja Belum layak dipakai, kamera tidak singkron dengan kamera utama Sara adakan foto manual yang bisa ambil dari galeri untuk mempermudah pekerjaan",negatif
"Kurang lebih sehari setelah penyesuaian nilai dengan foto yang diupload, nilainya berubah dengan sendirinya. User tidak dapat mengoreksi nilai lagi karna sudah terlanjur di ""submit"".",negatif
Aplikasi penghambat kinerja KPPS tidak berguna terus gobloknya lagi udah gak layak pake KPU nya masih saja maksa untuk di gunakan.,negatif
Mantap aplikasi keren,positif
"Bermanfaat mudah di gunakan, produk lokal nih bos!!",positif
Untuk kedepanya Kalo bisa yang diunggah pdf aja kalo foto satu satu malah lambat kecuali kita punya server yang oke..ini yang akses satu indonesia lo bukan satu kabupaten.,positif
apk gaguna,negatif
"Apk gak guna, bikin kisruh negara aja. Tanggung jawab di akhirat ya amsari.",negatif
Oke,positif
Oke,positif
"Account is disabled, contact your administrator... Artinya... Knap tdak bsa login",negatif
Oke,positif
apk gagal,negatif
Oke,positif
Aplikasi jelek curang,negatif
"sialan bikin ngumet endas ku susah masuk sudah cara papun donload segalagala,gagal terus",negatif
Oke,positif
Oke,positif
Tidak bisa diupdate,negatif
"Aplikasi gagal, kalau belum siap jangan dipaksakan lah bukannya membantu tapi malah menyusahkan",negatif
Aplikasi ga guna,negatif
"Apk gajelas,",negatif
nyusahin,negatif
Lah apk nya yang prematur kog.. di paksakan di pakai,negatif
"Aplikasi ampas banyak bug, Server down mulu, foto c hasil udah di upload berminggu minggu ga kedetek dan ga bisa di ubah angkanya, bahkan ada beberapa yang ga ke upload pdhal di aplikasi tulisanya udah berhasil upload, Dana aja gede 2,8 Miliar bikin aplikasi gini kemana tuh lari uanganya",negatif
Aplikasi sekelas buatan negara tapi kayak sampah. Nyusahin idup orang,negatif
Aplikasi yg di ciptakan untuk menyusah kan KPPS 50k sama sekali gak worth it F,negatif
Apk zonk kaya begini bisa-bisanya nyalahin pengguna sirekap yg sdm rendah. Benerin dulu apkmu yg gak seberapa ini,positif
Aplikasi apaan nih? Gk mutu dan gk adil,negatif
