ulasan,label
"Dengan adanya sirekap, ekspetasi penghitungan suara akan lebih cepat dan mudah Tapi realitanya tidak sesuai ekspetasi, malah mempersulit dan memperlambat. Semoga bisa diperbaiki agar 5taun kedepan bisa digunakan dengan optimal",2
"Tolong dong aplikasinya di perbaiki, minimal kalau tidak bisa membaca angka dengan benar bisa di tulis manual Ini sudah di isi manual tetap saja tidak bisa dengan keluhan tidak sesuai, padahal angka sudah terbaca dengan jelas Dan tolong tambahkan untuk menu import foto dari galeri saja agar tidak menyusahkan",1
"Selama 4 tahun ini developer sirekap ngapain? server ga ada perbaikan, dan dari dulu aplikasi ga ada perkembangan apa2, paling gak saat pengambilan gambar tambahin fiture flash atau paling ga resolusi pengambilan foto di naikkan, kasian buat operator sirekap yg sensor kameranya ga bagus, hasil foto jadi kayak VGA, noise dimana2.",1
"Untuk sekelas pemilu yang menentukan pemimpin Indonesia, aplikasi ini benar2 sangat tidak layak karena segala fitur yg ada tidak memumpuni dari server yang sering down, upload foto yg sering keliru di bagian pemotongan, deteksi angka yang tidak otomatis, tidak ada nya fitur edit untuk data panwas, saksi dan PPS, dsb semoga di pemilu berikutnya aplikasi ini bisa di perbaiki lagi ya dan di buat lebih user friendly agar mudah di pahami sama pengguna yg masih newbie",1
"Niatnya sudah bagus cuma kurang memanfaatkan waktu untuk mempersiapkan aplikasinya saja. Verifikasi dokumen terlampau lama keburu form c hasil dikembalikan ke PPS, sebelum di update sebenernya sudah bagus bisa tulis hasil secara manual jadi bisa double checking. Kualitas kamera dari aplikasi juga terlampau buruk dan tidak ada fitur flash nya.",2
"Upload foto lama, AI -nya banyak ngaconya.. Sudah selesai pengisian foto,data dan verifikasi, diklik kunci dan buat dokumen sampai 36 jam lebih ( sampai sekarang ) masih muter2 loading nya.. Sudah hubungi developer apk nya sampai sekarang nggak ada tanggapan... Ditambah aplikasinya makan memori HP sampai 1 GB lebih...",2
"Gimanan ini foto si rekap tidak bisa jernih tidak bisa seperti bawaan hp yang bisa di atur, hasil gambar kadang tidak akurat harus edit sendiri, untuk server di akses banyak orang eror, data yang sudah di submit tidak bisa di ubah, tampilan sederhana tidak menarik, saran untuk kedepannya mending di uplod saja scan melalui camscaner biar jenih tidak buram hasilnya pun lebih maksimal tidak merepotkan si admin rekap tps ada tugas lain dan tingkatkan lagi servernya biar tidak eror",1
"please benerin post processing untuk foto c hasil nya, saya temui di beberapa hp hasil foto jadi burik (pixleated) padahal reso sama 1000x1700 an.. tapi kok di saya hasil nya jadi kaya burik bgt yah.. terus bug nya di beberapa hp .. circle bar nya muter terus saat kunci dokumen.. hadeh.. saran jg nih.. crud nya tolong di terapin.. gaada edit ama hapus loh di opsi tambahkan saksi, pps dan panwas.. ini gimana sih wkwk.. tambah lah.. kita semua manusia kadang juga bisa salah input dan perlu edit",1
"saat menggunakan aplikasi sirekap tidak bisa mengunci dan membuat dokumen, tp setelah uninstall dan di instal ulang baru bisa bekerja, tp tidak untuk semua diulangi cara yg sama, malah katanya akun di nonaktifkan. ini cara ngatasinya gimana ya? kalau seperti ini kerjaan tidak akan pernah selesai",1
"Saya kasih tau waktu di lapangan yah min. 1. app kurang membaca 100% , x terbaca 1 2. tombol online dan offline tersebut cuma pop up jadi agak sedikit merepotkan 3. Sesi yang terlalu pendek dan ketika sudah mode offline lalu kembali ke app harus online dulu 4. Terkadang di tabel edit ada yang bisa di edit dan ada yang tida 5. Ini yang paling nyebelin , kelebihan muatan sehingga keluar kode 504 sampe ahir pemilu rampung tolong lah min perbaiki dan servernya yang 2jt pengguna bisa nampung.",1
"Bukan mempermudah malah mempersulit,mulai dari sinyal padahal pake aplikasi lain lancar lancar aja,kualitas fotonya jelek percuma penerangan bagus tulisan bagus kalau fotonya burem mah,terus pendeteksi angka nya juga parah masa angka 1 terbaca angka 7 lah 6 lah 4 lah padahal udah di tarik lurus gak pake topi angka lain nya juga sama,,, Kalau niat mau pake aplikasi coba buat dari lama, ini mah satu bulan mau di pake baru bikin haduuuh parah,jadi kpps sekarang cuma buat uji coba parah parah",1
"Masih banyak kekurangan. Salah satunya tidak bisa mengaktifkan lampu flash saat mau foto. Coba ditambahkan fitur menyalakan flash, untuk membantu saat foto. Mungkin kedepan bisa dipikiran yang discan adalah C-salinan yang berukuran A4, dimana sekarang hampir tiap TPS dilengkapi dengan printer yang bisa scan dan copy.",3
"Sy beri rating 4 bintang sbg bentuk apresiasi. Aplikasi ini blm bisa bekerja maksimal terutama ketika proses membaca / menganalisis foto form c hasil plano yg kita upload sangat2 lama sekali, Sampai 5 hr setelah tgl pemilu masih blm selesai proses. Sehingga kita tdk bisa mengunci dan membuat dokumen c hasil. Sy berharap kedepannya bisa lebih baik terutama dlm daya dan kapasitas servernya.",4
"Aplikasi Paling jelek diantara aplikasi-aplikasi yg ada di play astor, aplikasi yg selalu minta update, pas dihari ingin di gunakan banyak kendalanya, bikin Nambah pusing Untuk kerja, Tolonglah kalau aplikasinya masih di kategorikan abal-abal ni, di perbaiki lagi biar bisa lebih baik kedepannya gak ada kendala dll.",1
"aplikasi yang gagal udah foto beberapa kali tapi masih belum di kenali, bukannya membantu jalannya pemilu malah mengganggu. tolong sebelum di realis aplikasinya harus sesuai dengan kebutuhan dan fasilutasnya sudah memadai jangan masih dalam perbaikan tapi sudah di gunakan.",1
"Dimohon dengan hormat untuk instansi terkait, klo semisal sudah terbaca oleh aplikasi dimohon perbaiki lagi servernya. Padahal jaringan yg sya pakai sangat stabil dan perangkat yg digunakan pun memadai sesuai arahan yg sudah diumumkan jauh-jauh hari menjelang pemungutan suara.",1
"Kalau belum sempurna tidak usah di pakai dulu, Petugas kpps sudah pusing, di tambah aplikasi yang bobrok. Laporan C hasil tidak bisa di edit. Login lama. Upload data lama, dan sering log out Sendiri. Intinya sempurnakan dulu, Baru Di Pakai.",2
"Aplikasi ini suka berubah yang difoto apa yang keluar apa, hasil bisa diedit kesannya hasil pemilu bisa diotak-atik kurang bagus ini aplikasi, banyak lelet loading lama.",1
"Hmmm ocr nya menggelitik, datanya gak pas, di edit manual (khusus presiden kagak bisa) udah di upload salah data ga bisa di cancel, mana data salah juga invalid ga bisa upload, jadi stuck aja di cancel ga bisa di terusin juga ga bisa. Review jujur, untuk sekelas aplikasi formal agak mengecewakan, niat hati mau mempermudahkan malah mempersyulit",2
"Aplikasi Tidak layak pakai, Tulisan Jelas namun tidak terbaca, Slide 2 Ketika edit tidak muncul Keyboard, banyak tanda X terbaca 8, Lambat dalam memproses Gambar dan Data.",1
"Gak bisa sign-in. Ini aplikasi curang oleh pengembangnya karena jumlah suara di TPS-TPS yang dimasukkan kedalam aplikasi ini bisa berubah jumlahnya secara otomatis seolah-olah ada yang mengubahnya. Contoh : jumlah suara paslon 02 di tps hanya 70 suara, tapi yang keluar di aplikasi jadi 870 suara. Pasti kpu disuruh dan dibayar oleh paslon 02 prabowo-gibran nih.... 😏 laporin aja ke playstore spy aplikasi ini dikeluarin dari playstore.",1
"Bugnya parah. Di TPS rata2 DPT 300, tapi kok bisa input total 180*** suara. Logicnya tidak masuk, seharusnya kalo salah input tidak bisa diupload. Minimal dikasih warning/alert biar petugas data entry-nya bisa koreksi.",1
"jangankan sampai ke tahapan mempermudah ini malah mempersulit, apload sulit, UI dan UX terkesan asal jadi bikin ribet. Entah vendor atau internal tim kpu yang buat, kalian gk pake QA kah sebelum deploy aplikasi? Kalau aplikasi kayak gini sampe tanggal 15 subuh belum bisa upload gk ada exit plannya?. Tujuan aplikasi ini kan untuk memecahkan masalah soal input hasil tps agar mudah, tapi malah Input hasil tps tetep susah, ditambah aplikasi yang susah jadi malah ada 2 masalah sekarang.",1
"Aplikasi bodong, angka hasil tidak sesuai yang difoto, offline bisa mendetek angka tapi tidak sesuai aslinya sehingga angka berkurang, anehnya tidak bisa diedit, ada unsur yang tidak beres dengan data",1
"Parah banget aplikasi ini algoritmanya seolah olah seperti sudah diatur sesuai pesanan, diperbaiki yg satu yg lain malah berubah, server lemot parah, pemindaian angka tidak akurat banyak kesalahan, heran aplikasi buatan pemerintah tapi interface sekelas aplikasi warnet... Anggaran triliunan bikin 1 aplikasi ajah kaga pernah bener?",1
"Sangat amat buruk, foto yang di ambil dari aplikasi sirekap tidak jelas. Kalau belum sanggup buat aplikasi sendiri kenapa tidak bekerja sama dengan developer dari scanner lainnya seperti camscanner. Sehingga akan menghasilkan kualitas yang bagus.",1
"Tolonglah untuk KPU/developer aplikasi ini, kalau aplikasinya belum siap dan masih banyak kendala, lebih baik jangan digunakan. Di ujicoba jangan menjelang mau ada acara pemilu, ini kan jangkanya panjang, 5 tahun sekali utk pilpres, bisalah dperbaiki sedikit2 apa yg masih terkendala, jangan baru di ujicoba n perbaiki beberapa bulan sebelum acaranya.",1
"Made in pemerintah dari dulu gini mulu ya. Minusnya ga bisa auto focus (fitur utama sebuah aplikasi yang menggunakan kamera), ga bisa menyalakan flash (fitur tambahan untuk memperjelas objek foto), ga bisa pake foto di galeri (fitur tambahan jika minta foto ulang). Dan server kurang kuat",1
"Memang butuh banyak penyempurnaan, Verifikasi terlalu lama, kalau harus ambil foto ulang diaplikasi sedangkan Plano aslinya sudah didalam kotak yg disegel dan sudah dikirim kekecamatan (untuk membuka kembali kotak suaranya prosesurnya ga mudah)",3
"Saya sudah selesai mengerjakan data di aplikasi sirekap , dan sudah saya kunci . Alhasil setelah saya buka kemabali untuk mebgecek , data² nya kosong , kembali seperti awal. Aku ngerjaiiinnn nya begadang wooiii .. tolong lah",1
"Aplikasi sering ngcrush , dan cara penggunaannya kurang Simple , dan lebih parah lagi engga bisa digunain , sampah , ini kan khusus untuk foto ch hasil masa yang kebuka kamera ultra widenya sih , kebanyakan ambil untung dari pada buat apk yang berguna",1
Muak bgt. Please lah gara2 eror ga jelas jadi ada data yang gak ke kirim sementara aplikasi nya udah gak bisa edit . Gimanaa sih padahal belum dikunci juga harusnya bisa di edit dong!!!tolong lahh,1
"saya sbg Anggota KPPS sirekap 1,, jujur aplikasi ini lah yg bikin kami pulang pagi, memastikan semua terfoto dg baik tapi tidak ada gunanya, tetap saja tidak bisa terbaca.. saat bimtek aplikasi tidak bisa digunakan, saat pemilu aplikasi down.. 1 hr setelah pemilihan pun di cek kembali buat memastikan data dan menguncinya, ternyata sebagian disuruh ulang foto lagi 😂😂😂, ya mana bisa dikunci kl begini 😂 untung semua hasil C1 SUDAH DI FOTO & SCAN.. JGN SALAHKAN KPPS, KPU YG BELUM SIAP..",1
"Servernya ditingkatkan , kasihan operator, upload foto 3 saja sampai berjam jam. harusnya juga ada menu unggah foto, untuk upload hasil foto kamera / scan. Bukan ambil gambar langsung dari aplikasi. Dan juga sediakan aplikasi versi desktop.",1
"Tolong yang buat aplikasi ini tolong banget penanganannya dengan sungguh sungguh, masa saya sudah upload sudah verifikasi semua tapi katanya datanya belum masuk ke real. Count KPU, dan tolong perbaiki AI sirekap untuk bisa membaca tulisan yang sedikit blur atau salah coret dan servernya tolong diperbaiki lagi Itu saja sih nanti kalo ada tambahan lagi saya beri tahu lagi Trimakasih",1
"Bisakah kamera untuk pengambilan foto menggunakan kamera utama (48MP) dan bukan kamera Ultra Wide (8MP)? Itu membuat foto yang dihasilkan menjadi buram dan tidak jelas, sedangkan foto yang diminta oleh Sirekap ingin tampak jelas. Mohon bantuan dan penjelasannya, apakah kamera untuk pengambilan foto dapat diubah agar foto yang dihasilkan nampak jelas, terima kasih.",2
"yang katanya dunia serba digital dan agar mempermudah pekerjaan nyatanya malah menyulitkan. Tadinya ngasih bintang 3 siapa tau ada kemajuan, ternyata pas hari h dipakek malah ngrepotin penggunanya. Untuk aplikasi sekelas nasional, kalau belum siap besok2 jangan diluncurkan. Saya edit bintang 1🙏",1
"burukkk banget aplikasinya, sampai hari ini saya belum bisa membagikan pdf nya dari pagi sampai sekarang masih muter terus, padahal memory hp internal 6 GB, udah di matiin data terus nyalaiin lagi masih muter, hp nya di matiin terus nyalaiin lagi masih muterr, di restart hp nya masih muter tuhh belum muncul"" pdfnya. orang lain pada bisa kok saya gak bisaa, apaa penyebabnyaaaaa saya juga binggung",1
"Aplikasi yang menurut saya bukannya memperlancar, malah menghambat. Tolong diperbaiki mulai dari proses yang lama dan belum tentu berhasil di proses. Apalagi sistem fotonya harus live. Iya kalau ketahuannya pada masih waktu dilokasi bisa diulang fotonya, lah kalau ketahuan gagal diproses nya waktu kegiatan sudah selesai dan Plano sudah dikirim. Tolong lah, sistemnya diperbaiki agar memperlancar KPPS dalam menjalankan tugasnya. Ini justru malah memperlambat KPPS. Tolong diperbaiki 🙏🙏🙏",1
"Singkat saja "" Aplikasi Aneh"" sekelas nasional diperuntukan untuk pemilu yang digunakan beberapa tahun sekali bukanya mempermudah tapi mempersulit pekerjaan, yang harus nya bisa cepat selesai....ini membuat pekerjaan semakin lama dikarenakan proses deteksi gambar buruk.. Uda cape liat aplikasi pemerintah dari sgds terus ini lagi...hadeh, Terlalu spele...",1
"Blas gagal bikin kepala pusing, mana yang capres dan cawapres ga bisa di edit, hasil di periksa lebih dari DPT lagi. Buat apa pake aplikasi sirekap kalo hasilnya ngawur. Saya beri nilai 0,05 dari 100 Saran di perbaiki sampai jadi jangan sampai kaya gini lagi. Keliatan banget kalo server / aplikasi buatan Indo jelek"". Padahal aplikasi ini alat bantu untuk negara, masa sampai segitunya hehe",1
"Aplikasi cacat,aplikasi prematur,banyak bug ,banyak error, aplikasi tersampah yang pernah saya pake semenjak pake hp android,KPU pake nyalahin kpps banyak aplikasi nya aja cacat, upload satu foto susah nya mintak ampun,apa lagi pas pemilu 67 yang mau di upload,1 foto aja setelah berjam jam baru bisa id upload,Kadang gak bisa sama sekali,apa mungkin dana pembuatan aplikasi di korupsi sampai bisa aplikasi nya secacat sprematur ini,HELLO ini aplikasi buat negara EMANG BOLEH SECACAT INI APLIKASINYA",1
"Tolong diperbaiki, aplikasi belum siap digunakan suruh pakai, mana pps suruh coba terus update ke si rekap. Intinya hasil sudh selesai, gak peduli dengan si rekap, gak bisa terus cape coba2 terus. Wassalam",1
"Yang buat pasti orang pusing, makanya bikin pusing yang pakai aplikasi. Lain kali pakai jasa vendor yang kompeten dan berpengalaman yang siap dan benar² siap sampai finish, bukan hanya siap di awal pembuatan. Kedepan harus lebih baik Siap Buat aplikasi, Siap koreksi dan perbaikan aplikasi, Siap digunakan sesuai manfaatnya, Siap digunakan dengan kapasitas yang diperlukan, Siap menjaga keamanan data aplikasi dan pengguna, Siap antisipasi Down, overload, Bug, dll tanpa kendala hingga selesai.",1
pada saat pelaksanaan aplikasi loading nya luar biasa tp data sudah terfoto & sebagian sudah terverifikasi malah yg presiden sdh terkunci karna ada bbrpa kendala d suruh update ke versi 2.48 stlh d update data hilang semua...😓😡,1
"Kalau bisa pilih bintang lebih baik tidak ada bintang, bukan tidak ingin meng apresiasi orang/developer ini. Tapi masa sih 5 tahun tidak bisa mengembangkan aplikasi tersebut apakah tidak ada Dana? atau Bagaimana? malahan membuatnya mendadak (22 Januari 2024) aneh banget, server kurang jadinyakan overload, dan banyak bug. Kalau ga niat buat jangan buat lah malah memusingkan orang-orang. Untuk tahun ini lebih baik ditutup dulu, perbanyak servernya biar Kami juga merasa nyaman sebagai pengguna. TY",1
"Aplikasi butut, herannya kpu dikasih waktu 5 tahun untuk buat ni aplikasi tapi hasilnya malah seadanya, kayak ga niat buat (lebih ke ""hemat budget"" mungkin). Gak bisa unggah foto dari galeri, kualitas foto jadi jelek banget + blur, gak ada flash, sudah diunggah suka minta foto ulang yang mana itu buat repot. Lain kali kalo diamanahkan untuk buat aplikasi tolong buatlah dengan sebaik mungkin, masukan dari teman"" yang sudah diulas tolong dipikirkan.",1
"Aplikasi nya mempersulit bukan mempermudah, sebaiknya sebelum diluncurkan untuk di gunakan secara masal dipersiapkan dulu dgn matang agar ketika di gunakan gak banyak kendala. Daripada buat lapor hasil pemilu ,mending KPU luncurkan aja aplikasi undangan untuk pemilu secara digital ,tapi pelaporan biarlah masih secara manual. Jadi lebih bisa hemat anggaran gak perlu cetak undangan lagi secara fisik. Daripada buru"" luncurin aplikasi gak make sense kaya gini untuk pelaporan hasil pemilu.",1
"Kurang lebih sehari setelah penyesuaian nilai dengan foto yang diupload, nilainya berubah dengan sendirinya. User tidak dapat mengoreksi nilai lagi karna sudah terlanjur di ""submit"".",2
"aplikasi paling jelek yg pernah saya download, masih menggunakan fitur dan program yang tidak kekinian dan bsa terhitung jadul membuat aplikasi tetapi malah menyusahkan untuk pengguna sekaligus malah membuat ambigu"" d masyarakat karena kesalahan sistem",1
"Aplikasi SiREKAP yang saya gunakan terkena hapus data sehingga menyebabkan ketika saya login kembali data hilang dan harus di foto ulang, saya sarankan agar ketika walaupun terhapus data aplikasinya ketika login ulang, seharusnya data tersebut tetap ada dan tersimpan di Server sirekap, kalau nasi sudah menjadi bubur iah mau bagaimana lagi. Untungnya saya sudah memfoto sebelumnya dan sudah submit semua ke server sirekap.",5
"APLIKASI GAGAL. Suka nge bug, over akses bikin Lemot, kamera tidak bisa di fokuskan dan kualitas gambar tulisan jadi blur. Unggah gambar tulisan ""tunggu sesaat"" TAPI 3 hari blum selesai proses pengunggahannya. Cara pengaplikasianya cukup mudah. Tapi ya seperti tadi contohnya. Aplikasi PEMILU dari tahun 2019 sampe sekarang gak ada perubahan.",1
"Sudah di beri akses dari kpu tapi sekarang tidak dapat login,username or pass salah,sebagai anggota kpps kita merasa kerja kita tidak baik atau buruk karena kendala sirekap,tidak mudah,tidak semuanya dapat untuk mengunggah file c hasil pleno,dan admin malah di minta login kembali,dan ketika login di tidak dapat karena server tidak mampu membaca username admin dan passnya.",1
"Lama untuk pengambilan foto, hasil gambar buruk walaupun pencahayaan cukup. Aplikasimya Kadang masih keluar sendiri. Sangat tidak efisien",1
"Aplikasi terbaik, sangat berguna, tidak ada bugnya, tidak force close, dan upload data selalu lancar tanpa halangan. Terimakasih sirekap, kamu sangat membantu dan mempermudah pekerjaan KPPS🙏🏻🙏🏻☺️",1
Banyak kekurangannya. Andaikan foto bisa di ambil lewat galeri. Kan gak pakai lama fotonya. Foto 1x masih proses sudah keluar APK. 1 foto lampiran pertama aja 100kali fotonya. Kerjanya bukan buat foto aja kita ini,1
"Saya beri 4 bintang apresiasi perbaikan kualitas pemilu di perhitungan suara dan transparansinya, di versi 2.48 saya beri tanggapan sedikit, untuk verifikasi data sangat lama responnya hal ini menambah beban operator disisi waktu dan monitoring, selain itu angka hasil yang keluar harus diteliti benar², karena angka pada gambar sering kali tidak sesuai dengan plano, ini akan menyulikan operator yang meng-upload di tempat lain yang bersinyal baik, krn belum tentu bawa berkas yang harus foto ulang.",4
"Tolong lebih ditingkatkan lagi, terutama kamera agar fokus dan dikasih flash.. upload terlalu lama dan data yg terbaca salah jd harus edit sendiri.. sangat membuang"" waktu dan memperlambat kinerja. Fitur edit ditambahkan, jangan skali pencet g bsa berubah lagi 🥲 agar bisa di edit sampai data bner bner sesuai.. Cukup membantu dr pada yg sebelumnya tapi banyak nyusahinnya ini aplikasi 🥲🤣",2
dari instansi bersangkutan....😁 alangkah bagusnya sebelum dilaksanakan pemilu aplikasi sirekap diuji coba dulu dalam riset dan diambil sampel yang banyak agar tau kelemahan dimana supaya bisa diperbaiki. jujur untuk skrng aplikasi sirekap banyak kelemahannya terutama dalam hitungan suara di sirekap dengan Plano yang terjadi ketidak sesuaian dalam hitungan suara yang tidak bisa diubah atau disesuaikan dengan Plano. ada apakah itu pihak penyelenggara.....?🤫 mohon perhatiannya dan terima kasih 🙏,1
"Aplikasi parah. Sekelas pemilu aplikasinya kok begini. Mulai dari sering eror, ada instruksi harus ofline tiba2 harus online, dan anehnya beda hasil antara hasil real dan pembacaan hasil di aplikasi. Dan itu tidak bisa diedit oleh operator sirekap! Kalau seperti ini gmn ga dinamakan curang?",1
"Aplikasi sudah bagus, hanya saja masalahnya adalah aplikasi ini banyak kekurangan.. yaitu CRUT yang pastinya Seorang orang pemograman berbasis dekstop developer ngertilah ..kalau saja ada CRUT kita bisa mengubah atau menghapus adanya pendobelan kata atau mengedit ulang kata yang salah.. jadi saran saya ada tolong perbaiki ulang aplikasi ini sehingga pengguna merasa nyaman menggunakan aplikasi ini",1
"Sangat banyak kekurangan, aplikasi yang tujuannya untuk memudahkan malah lebih mempersulit. Pembacaan angka banyak salah, terutama X sering dibaca 8. Kemudian untuk aplikasi yang sepenting ini, tidak ada opsi untuk mengedit saksi, pps, panwas, waktu pemungutan, dan juga waktu perhitungan. Jika salah mengisi, maka tidak ada jalan kembali, kecuali direset langsung dari pusat",1
"Untuk developer mohon maaf nih aplikasinya masih bobrok sekali, 1. Server sering down ( sepertinya anggarannya kurang banyak kah buat isi dompet? ), 2. Kamera dari aplikasi gk bisa di buat fokus manual + gada fitur flash padahal untuk penghitungan bisa sampai malam hari sehingga kualitas foto sangat jelek, 3. Uji kelayakan minimal 1 tahun-1 bulan sebelum pemilu kek supaya kpps tidak terbeban i waktu hari H karena sudah kurang tidur tetapi juga harus mengisi di aplikasi yang masih bobrok",1
"Aplikasi jelek, membuat saya kerja 2x dengan data yang terhapus sendiri. login susah, angka nomor plano banyak yang harus di betulkan sendiri oleh user supaya tepat (percuma juga bila plano di tulis dengan angka digital supaya dapat terbaca, nyatanya tidak terbaca), harus memfoto ulang beberapa foto sementara hasil manual sudah di kirim ke pusat.",1
"Aplikasi ini masih banyak masalah, terutama bagian interface yang masih error, memasukan data yang tiba tiba ter-log out, tiba bisa sinkron antara huruf dan angka, saya saran kan untuk bisa menginput data melalui ketik keyboard tetapi sebagai bukti kalau data tetap valid menggunakan scan foto, dan bisa di optimalkan kelancaran dan performa aplikasi untuk di berbagai device terutama OS Android 7 dan keatas Terimakasih",2
"Aplikasi level nasional, tapi servernya lemot. apakah saat membuat aplikasi ini tidak memperhatikan UI UX, atau tidak menggunakan analisis SWOT atau Pieces.? Kelas nasional tapi kayak amatiran banget. Kalau memang diakses seluruh Indonesia, harusnya dipersiapkan dahulu Jaringan dan Servernya sebaik mungkin, biar tidak merepotkan Petugas. Bintang ulasan akan berubah sesuai dengan kemudahan user saat menggunakan aplikasi. edit ulasan paska pemilu, intinya aplikasi ini tidak bermanfaat. Thanks.",1
"Katanya bisa offline, tapi saat di gunakan malah jadi ga jelas dan ga bisa di pake. kamera aplikasi juga tergolong burik, mau pake kamera bawaan hp tapi fotonya ga bisa di masukkan di aplikasi, padahal hasil foto kamera lebih jernih dan jelas. Hasil camera aplikasi malah ga terbaca.",1
"Aplikasi masih banyak kekurangan, kamera tidak bisa difokuskan selalu blur padahal penerangan sudah maksimal sekali, sampai H-6 masih ada update aplikasi, harusnya H- beberapa bulan sudah tidak ada update lagi, login susah, sudah hampir tidak tidur dan aplikasi bermasalah dan KPPS masih disalahkan, jika ada rating minus sudah saya kasih rating minus",1
"banyak bug malah bikin mempersulit, tidak jelas, tidak bisa mengirim foto lewat file, yg tadinya sudah di foto setiap Plan C, eh tidak bisa dikirim tapi harus di scan langsung, jadi plan c yg sudah tersegel terpaksa harus di buka kembali, UX tidak simple, intinya malah mempersulit",1
"aplikasi yang membuat pekerjaan dua kali lipat krn selalu log out dan hasil foto tdk sesuai dengan hasil yg sebenarnya, diedit lagi nambah beban kerja pemakai sirekap krn utk menghindari fitnah atas kerja keras tak mengenal waktu, upload foto berhasil tetapi jika ingin liat verifikasi kesamaan data utk submit justru sangat sulit dan itu jadi kendala utama.",1
"Aplikasi nya sama sekali tidak worth it, update nya sering error sering juga, pas nge foto lama nunggu loadingnya, apalagi kemarin pas pemilu malah ga bisa digunakan, jadi tolong dong kalo mau digunakan lagi benar2 di perbaiki jadi lebih baik lagi, karena saya sangat kesusahan saat pemilu, udah cape2 memfoto c-hasil dll trnyta malah error jadi percuma saja jadinya, mohon untuk membuat aplikasi yang benar2 berguna",1
Banyak kendala di aplikasi ini. Ketika pemilu sampai sekarang gambar tidak bisa dibaca kalaupun terbaca OCR tapi tidak bisa di submit. Bukan mempermudah tapi mempersulit,2
